,messid,bsid,did,nseq,rssi,time_ux,bs_lat,bs_lng
0,573bf1d9864fce1a9af8c5c9,2841,473335.0,0.5,-121.5,1463546329000.0,39.6177937615,-104.954917061
1,573bf1d9864fce1a9af8c5c9,3526,473335.0,2.0,-125.0,1463546329000.0,39.6772510308,-104.952720509
2,573bf3533e952e19126b256a,2605,473335.0,1.0,-134.0,1463546707000.0,39.6127445823,-105.008826579
3,573c0cd0f0fe6e735a699b93,2610,473953.0,2.0,-132.0,1463553232000.0,39.7979686649,-105.073460438
4,573c0cd0f0fe6e735a699b93,3574,473953.0,1.0,-120.0,1463553232000.0,39.723150550999996,-104.95621566
5,573c0cd0f0fe6e735a699b93,8474,473953.0,2.0,-100.0,1463553232000.0,39.7320448643,-104.973650831
6,573c1272f0fe6e735a6cb8bd,1859,476512.0,1.0,-123.333333333,1463554674000.0,39.7048869498,-105.01639226700001
7,573c1272f0fe6e735a6cb8bd,2605,476512.0,1.0,-129.66666666700002,1463554674000.0,39.6127445823,-105.008826579
8,573c1272f0fe6e735a6cb8bd,3025,476512.0,1.0,-123.666666667,1463554674000.0,39.654681879099996,-105.04368528299999
9,573c1272f0fe6e735a6cb8bd,8082,476512.0,1.0,-133.0,1463554674000.0,39.495224589,-105.053108525
10,573c8ea8864fce1a9a5fbf7a,1086,476286.0,2.0,-141.0,1463586472000.0,39.9739948915,-104.891716745
11,573c8ea8864fce1a9a5fbf7a,1741,476286.0,1.0,-116.666666667,1463586472000.0,39.8078782841,-105.04775652299999
12,573c8ea8864fce1a9a5fbf7a,1878,476286.0,1.0,-120.333333333,1463586472000.0,39.803794978,-105.07208998899999
13,573c8ea8864fce1a9a5fbf7a,1987,476286.0,2.0,-138.0,1463586472000.0,39.807840941900004,-105.043755461
14,573c8ea8864fce1a9a5fbf7a,1988,476286.0,1.0,-138.0,1463586472000.0,39.926397002600005,-105.084103021
15,573c8ea8864fce1a9a5fbf7a,1996,476286.0,1.0,-131.0,1463586472000.0,39.8162240841,-105.045346792
16,573c8ea8864fce1a9a5fbf7a,2189,476286.0,1.5,-120.0,1463586472000.0,39.8176539435,-105.050983775
17,573c8ea8864fce1a9a5fbf7a,2605,476286.0,1.0,-132.0,1463586472000.0,39.6127445823,-105.008826579
18,573c8ea8864fce1a9a5fbf7a,2610,476286.0,1.0,-125.666666667,1463586472000.0,39.7979686649,-105.073460438
19,573c8ea8864fce1a9a5fbf7a,2617,476286.0,1.5,-137.5,1463586472000.0,39.7799081609,-105.06247933799999
20,573c8ea8864fce1a9a5fbf7a,2731,476286.0,1.0,-108.0,1463586472000.0,39.7814639251,-105.040763432
21,573c8ea8864fce1a9a5fbf7a,2784,476286.0,1.0,-125.5,1463586472000.0,39.7281854331,-105.042323764
22,573c8ea8864fce1a9a5fbf7a,2799,476286.0,1.0,-117.0,1463586472000.0,39.7530526327,-104.94102169899999
23,573c8ea8864fce1a9a5fbf7a,2846,476286.0,1.0,-130.0,1463586472000.0,39.666187571,-105.077529959
24,573c8ea8864fce1a9a5fbf7a,3256,476286.0,1.0,-136.33333333299998,1463586472000.0,39.864167432100004,-104.919153306
25,573c8ea8864fce1a9a5fbf7a,3410,476286.0,1.5,-121.5,1463586472000.0,39.7776897533,-105.00242432600001
26,573c8ea8864fce1a9a5fbf7a,3412,476286.0,1.0,-123.0,1463586472000.0,39.8241946127,-104.998428692
27,573c8ea8864fce1a9a5fbf7a,3526,476286.0,1.0,-136.0,1463586472000.0,39.6772510308,-104.952720509
28,573c8ea8864fce1a9a5fbf7a,3529,476286.0,1.0,-108.666666667,1463586472000.0,39.7553902903,-105.05640614100001
29,573c8ea8864fce1a9a5fbf7a,3538,476286.0,1.5,-135.5,1463586472000.0,39.8216715273,-105.023146494
30,573c8ea8864fce1a9a5fbf7a,3547,476286.0,1.0,-116.0,1463586472000.0,39.692975919,-105.044371274
31,573c8ea8864fce1a9a5fbf7a,3548,476286.0,1.0,-128.0,1463586472000.0,39.7448482036,-105.01004810200001
32,573c8ea8864fce1a9a5fbf7a,3555,476286.0,1.0,-125.0,1463586472000.0,39.8774948036,-105.031298006
33,573c8ea8864fce1a9a5fbf7a,3556,476286.0,1.0,-115.666666667,1463586472000.0,39.7806581352,-105.05367626799999
34,573c8ea8864fce1a9a5fbf7a,3558,476286.0,2.0,-131.0,1463586472000.0,39.8100546588,-105.010413445
35,573c8ea8864fce1a9a5fbf7a,3562,476286.0,1.0,-114.333333333,1463586472000.0,39.7977059038,-105.06023374899999
36,573c8ea8864fce1a9a5fbf7a,3565,476286.0,1.0,-134.0,1463586472000.0,39.9040824664,-105.07782543
37,573c8ea8864fce1a9a5fbf7a,3579,476286.0,1.0,-98.0,1463586472000.0,39.7550193847,-105.043314763
38,573c8ea8864fce1a9a5fbf7a,3581,476286.0,1.0,-122.666666667,1463586472000.0,39.7181196801,-105.066747888
39,573c8ea8864fce1a9a5fbf7a,3846,476286.0,1.5,-125.5,1463586472000.0,39.7537185228,-104.998667795
40,573c8ea8864fce1a9a5fbf7a,4056,476286.0,1.0,-114.0,1463586472000.0,39.7719150146,-105.00941593600001
41,573c8ea8864fce1a9a5fbf7a,4059,476286.0,2.0,-124.0,1463586472000.0,39.7567635889,-105.02487017899999
42,573c8ea8864fce1a9a5fbf7a,4078,476286.0,1.5,-139.5,1463586472000.0,39.7163169164,-105.13254993299999
43,573c8ea8864fce1a9a5fbf7a,4147,476286.0,1.5,-132.0,1463586472000.0,39.665430287,-105.111884525
44,573c8ea8864fce1a9a5fbf7a,4157,476286.0,1.0,-133.0,1463586472000.0,39.8054198019,-105.040942297
45,573c8ea8864fce1a9a5fbf7a,8352,476286.0,1.0,-106.666666667,1463586472000.0,39.7616334244,-105.025752947
46,573c8ea8864fce1a9a5fbf7a,8356,476286.0,1.0,-123.333333333,1463586472000.0,39.757033524499995,-104.976126764
47,573c8ea8864fce1a9a5fbf7a,8397,476286.0,1.0,-127.5,1463586472000.0,39.759395513200005,-105.00141507
48,573c8ea8864fce1a9a5fbf7a,8426,476286.0,2.0,-139.0,1463586472000.0,39.8048890313,-104.97086416799999
49,573c8ea8864fce1a9a5fbf7a,8437,476286.0,1.5,-137.5,1463586472000.0,39.7594613083,-105.074287246
50,573c8ea8864fce1a9a5fbf7a,8472,476286.0,0.5,-134.5,1463586472000.0,39.7343296311,-105.16535491100001
51,573c8ea8864fce1a9a5fbf7a,9899,476286.0,1.5,-129.0,1463586472000.0,39.7914022708,-105.02660482
52,573c9148864fce1a9a616174,1859,476286.0,1.0,-128.33333333299998,1463587144000.0,39.7048869498,-105.01639226700001
53,573c9148864fce1a9a616174,2605,476286.0,1.0,-137.0,1463587144000.0,39.6127445823,-105.008826579
54,573c9148864fce1a9a616174,2784,476286.0,1.0,-123.333333333,1463587144000.0,39.7281854331,-105.042323764
55,573c9148864fce1a9a616174,2799,476286.0,2.0,-136.0,1463587144000.0,39.7530526327,-104.94102169899999
56,573c9148864fce1a9a616174,2846,476286.0,1.0,-134.0,1463587144000.0,39.666187571,-105.077529959
57,573c9148864fce1a9a616174,3414,476286.0,1.0,-110.0,1463587144000.0,39.747448451,-105.056730649
58,573c9148864fce1a9a616174,3529,476286.0,1.0,-88.3333333333,1463587144000.0,39.7553902903,-105.05640614100001
59,573c9148864fce1a9a616174,3579,476286.0,2.0,-124.0,1463587144000.0,39.7550193847,-105.043314763
60,573c9148864fce1a9a616174,4078,476286.0,1.0,-141.0,1463587144000.0,39.7163169164,-105.13254993299999
61,573c9148864fce1a9a616174,4244,476286.0,0.0,-128.0,1463587144000.0,39.7708525833,-105.07149416799999
62,573c9148864fce1a9a616174,8437,476286.0,1.0,-129.0,1463587144000.0,39.7594613083,-105.074287246
63,573c939cf0fe6e735ac36de1,1264,476286.0,1.0,-127.0,1463587740000.0,39.7471392104,-105.085312503
64,573c939cf0fe6e735ac36de1,1476,476286.0,1.0,-134.33333333299998,1463587740000.0,39.7050706005,-105.14558114200001
65,573c939cf0fe6e735ac36de1,1859,476286.0,0.5,-128.5,1463587740000.0,39.7048869498,-105.01639226700001
66,573c939cf0fe6e735ac36de1,1878,476286.0,1.0,-125.666666667,1463587740000.0,39.803794978,-105.07208998899999
67,573c939cf0fe6e735ac36de1,2605,476286.0,2.0,-135.0,1463587740000.0,39.6127445823,-105.008826579
68,573c939cf0fe6e735ac36de1,2610,476286.0,1.0,-127.0,1463587740000.0,39.7979686649,-105.073460438
69,573c939cf0fe6e735ac36de1,2784,476286.0,1.0,-118.0,1463587740000.0,39.7281854331,-105.042323764
70,573c939cf0fe6e735ac36de1,2799,476286.0,1.0,-127.666666667,1463587740000.0,39.7530526327,-104.94102169899999
71,573c939cf0fe6e735ac36de1,2846,476286.0,0.0,-129.0,1463587740000.0,39.666187571,-105.077529959
72,573c939cf0fe6e735ac36de1,2862,476286.0,2.0,-127.0,1463587740000.0,39.7777762414,-104.96330486
73,573c939cf0fe6e735ac36de1,3025,476286.0,1.0,-121.0,1463587740000.0,39.654681879099996,-105.04368528299999
74,573c939cf0fe6e735ac36de1,3378,476286.0,2.0,-136.0,1463587740000.0,39.7151104414,-105.05924962200001
75,573c939cf0fe6e735ac36de1,3410,476286.0,1.0,-132.0,1463587740000.0,39.7776897533,-105.00242432600001
76,573c939cf0fe6e735ac36de1,3412,476286.0,1.0,-133.0,1463587740000.0,39.8241946127,-104.998428692
77,573c939cf0fe6e735ac36de1,3414,476286.0,1.5,-95.5,1463587740000.0,39.747448451,-105.056730649
78,573c939cf0fe6e735ac36de1,3500,476286.0,0.0,-135.0,1463587740000.0,39.7764668653,-105.099747171
79,573c939cf0fe6e735ac36de1,3529,476286.0,1.0,-101.333333333,1463587740000.0,39.7553902903,-105.05640614100001
80,573c939cf0fe6e735ac36de1,3547,476286.0,1.5,-124.0,1463587740000.0,39.692975919,-105.044371274
81,573c939cf0fe6e735ac36de1,3548,476286.0,0.0,-135.0,1463587740000.0,39.7448482036,-105.01004810200001
82,573c939cf0fe6e735ac36de1,3578,476286.0,1.0,-123.333333333,1463587740000.0,39.7286509462,-105.163031574
83,573c939cf0fe6e735ac36de1,3579,476286.0,1.0,-115.333333333,1463587740000.0,39.7550193847,-105.043314763
84,573c939cf0fe6e735ac36de1,3581,476286.0,0.5,-120.0,1463587740000.0,39.7181196801,-105.066747888
85,573c939cf0fe6e735ac36de1,4056,476286.0,1.0,-131.0,1463587740000.0,39.7719150146,-105.00941593600001
