,messid,did,bsid,nseq,rssi,NBAntennes,distpwr,distbs,lat,lng
0,573bf1d9864fce1a9af8c5c9,473335.0,6367,2.5,-246.5,2,8379.0176198452,35.42713461224876,39.606689521599996,-104.958489931
1,573bf3533e952e19126b256a,473335.0,2605,1.0,-134.0,1,7739.504894546474,19.404885351514917,39.6377412341,-104.958554156
2,573c0cd0f0fe6e735a699b93,473953.0,14658,5.0,-352.0,3,11448.184969755088,22.581861901664627,39.7304174328,-104.96894015299999
3,573c1272f0fe6e735a6cb8bd,476512.0,15571,4.0,-509.666666667,4,21795.344092216554,75.09178361387471,39.693101972,-105.00699527399999
4,573c8ea8864fce1a9a5fbf7a,476286.0,169261,51.0,-5291.833333334,42,238080.068223759,305.969152519324,39.758166784699995,-105.05101602399999
5,573c9148864fce1a9a616174,476286.0,40174,12.0,-1378.9999999993,11,65113.407447287434,83.02516456300066,39.7534018839,-105.05847740600001
6,573c939cf0fe6e735ac36de1,476286.0,155311,33.0,-4516.333333333,36,188377.7004734415,257.5648489334386,39.7522045323,-105.061677179
7,573c9667f0fe6e735ac51891,476512.0,2605,1.0,-136.0,1,8683.86731884152,19.404885351514917,39.6588364948,-105.00826269299999
8,573c9892f0fe6e735ac6603f,476286.0,97872,30.0,-3043.5,25,114793.34072819806,155.52398870293987,39.7508279317,-105.084246401
9,573c9d7b3e952e1912d9f567,476286.0,16682,3.5,-253.5,2,10325.527651156104,5.498020960627564,39.7897248502,-105.14207177
10,573cbc43f0fe6e735adabf38,473335.0,7117,2.0,-246.0,2,8231.18448645894,11.03328058024491,39.8234819597,-105.00658531200001
11,573cbc7ff0fe6e735adadeab,473953.0,16871,1.5,-262.0,2,13072.54580403854,15.148652688311898,39.729119138099996,-104.973191162
12,573cc276864fce1a9a7dd272,473335.0,2846,0.0,-127.0,1,5172.65102126266,12.986886324428697,39.636387184200004,-104.95385718700001
13,573cc3e1864fce1a9a7e8cac,473335.0,6367,3.0,-245.0,2,10931.078127375627,35.42713461224876,39.6108395811,-104.959204995
14,573cc5753e952e1912f0d833,473335.0,2841,1.0,-131.33333333299998,1,6638.1416050492835,20.466960762786623,39.610484932,-104.95866300600001
15,573ce369f0fe6e735aeeebd8,473438.0,1872,0.0,-121.0,1,3661.9564845932064,15.854604390132774,39.817274745300004,-105.219606285
16,573ce5ca3e952e191201235f,473438.0,36180,9.5,-906.0,7,46231.91424581104,79.13975937598617,39.8193896068,-105.21608433200001
17,573d44aa3e952e19123052b2,473335.0,2841,0.5,-95.0,1,819.8099390576211,20.466960762786623,39.6132883894,-104.957669814
18,573d45c5f0fe6e735a1f0ae6,473438.0,10054,1.0,-379.0,3,15288.813608432822,12.59639265829183,39.8069125771,-105.213851735
19,573d5b6f864fce1a9acb9d38,476185.0,57232,16.5,-1811.1666666659999,14,89550.93245633431,79.08211165744626,39.823802468400004,-105.05402054700001
20,573d5da8864fce1a9acccdda,476185.0,79419,17.5,-2412.4999999989996,19,106408.7342001843,162.90481190178622,39.827455746700004,-105.05263053600001
21,573d681d864fce1a9ad29b41,476185.0,95817,28.0,-3160.0,25,140452.19139247722,151.35989156418506,39.8165356897,-105.037957856
22,573d6abaf0fe6e735a332b84,476512.0,7489,3.5,-389.0,3,18138.83894085023,43.1344021972733,39.6933931535,-105.00639204
23,573d6d113e952e191246d944,476185.0,61480,15.5,-1991.6666666659999,16,79486.03772579794,45.29152237200948,39.792368277899996,-105.051352908
24,573d6f69f0fe6e735a367295,476185.0,29766,11.0,-1104.6666666667,9,40899.884625661914,18.50424932240579,39.7849356591,-105.05492827200001
25,573d71d6f0fe6e735a384aee,476185.0,81442,21.5,-2636.000000002,21,114065.47871047251,76.52603031387765,39.7787990792,-105.05716639200001
26,573d744bf0fe6e735a3a2223,476185.0,76559,19.5,-2497.6666666672995,20,103818.84132696062,134.75129460244622,39.7709256367,-105.071845453
27,573d76d6f0fe6e735a3be643,476185.0,4058,2.0,-120.0,1,3457.1098477659793,2.3053256351384723,39.7434805971,-105.095751496
28,573d791c3e952e1912500c1b,476185.0,94995,29.0,-2786.166666667,22,116199.05254536713,147.43151784134096,39.727903585300005,-105.107575111
29,573d9819f0fe6e735a5490e8,476285.0,145733,39.5,-4282.9999999990005,34,184470.5233610183,314.8859797945652,39.7841380484,-104.980678619
30,573d9a84f0fe6e735a564e8d,476285.0,136029,29.5,-3620.333333332,29,151798.7133722445,229.07767356417446,39.7747059768,-104.984244173
31,573da1c03e952e19126e2826,476185.0,19451,3.0,-485.5,4,15535.143598116276,17.661399540131434,39.751653124099995,-105.09388495
32,573da452864fce1a9aff034f,476185.0,7461,1.5,-200.1666666667,2,2997.9619648584585,6.509613200041995,39.7699031075,-105.07773541799999
33,573da67a3e952e1912715bd7,476185.0,3500,1.0,-131.0,1,6511.9818170106155,3.3066153991880864,39.8249810829,-105.063567886
34,573da8cff0fe6e735a5ff378,476185.0,75242,24.5,-2396.1666666662995,19,112614.46458280785,90.15662538590578,39.8149495474,-105.055689825
