messid,bsid,did,nseq,rssi,time_ux,bs_lat,bs_lng
573bf1d9864fce1a9af8c5c9,2841,473335.0,0.5,-121.5,1.463546329e+12,39.6177937615,-104.954917061
573bf1d9864fce1a9af8c5c9,3526,473335.0,2.0,-125.0,1.463546329e+12,39.6772510308,-104.952720509
573bf3533e952e19126b256a,2605,473335.0,1.0,-134.0,1.463546707e+12,39.6127445823,-105.008826579
573c0cd0f0fe6e735a699b93,2610,473953.0,2.0,-132.0,1.463553232e+12,39.7979686649,-105.073460438
573c0cd0f0fe6e735a699b93,3574,473953.0,1.0,-120.0,1.463553232e+12,39.723150551,-104.95621566
573c0cd0f0fe6e735a699b93,8474,473953.0,2.0,-100.0,1.463553232e+12,39.7320448643,-104.973650831
573c1272f0fe6e735a6cb8bd,1859,476512.0,1.0,-123.333333333,1.463554674e+12,39.7048869498,-105.016392267
573c1272f0fe6e735a6cb8bd,2605,476512.0,1.0,-129.666666667,1.463554674e+12,39.6127445823,-105.008826579
573c1272f0fe6e735a6cb8bd,3025,476512.0,1.0,-123.666666667,1.463554674e+12,39.6546818791,-105.043685283
573c1272f0fe6e735a6cb8bd,8082,476512.0,1.0,-133.0,1.463554674e+12,39.495224589,-105.053108525
573c8ea8864fce1a9a5fbf7a,1086,476286.0,2.0,-141.0,1.463586472e+12,39.9739948915,-104.891716745
573c8ea8864fce1a9a5fbf7a,1741,476286.0,1.0,-116.666666667,1.463586472e+12,39.8078782841,-105.047756523
573c8ea8864fce1a9a5fbf7a,1878,476286.0,1.0,-120.333333333,1.463586472e+12,39.803794978,-105.072089989
573c8ea8864fce1a9a5fbf7a,1987,476286.0,2.0,-138.0,1.463586472e+12,39.8078409419,-105.043755461
573c8ea8864fce1a9a5fbf7a,1988,476286.0,1.0,-138.0,1.463586472e+12,39.9263970026,-105.084103021
573c8ea8864fce1a9a5fbf7a,1996,476286.0,1.0,-131.0,1.463586472e+12,39.8162240841,-105.045346792
573c8ea8864fce1a9a5fbf7a,2189,476286.0,1.5,-120.0,1.463586472e+12,39.8176539435,-105.050983775
573c8ea8864fce1a9a5fbf7a,2605,476286.0,1.0,-132.0,1.463586472e+12,39.6127445823,-105.008826579
573c8ea8864fce1a9a5fbf7a,2610,476286.0,1.0,-125.666666667,1.463586472e+12,39.7979686649,-105.073460438
573c8ea8864fce1a9a5fbf7a,2617,476286.0,1.5,-137.5,1.463586472e+12,39.7799081609,-105.062479338
573c8ea8864fce1a9a5fbf7a,2731,476286.0,1.0,-108.0,1.463586472e+12,39.7814639251,-105.040763432
573c8ea8864fce1a9a5fbf7a,2784,476286.0,1.0,-125.5,1.463586472e+12,39.7281854331,-105.042323764
573c8ea8864fce1a9a5fbf7a,2799,476286.0,1.0,-117.0,1.463586472e+12,39.7530526327,-104.941021699
573c8ea8864fce1a9a5fbf7a,2846,476286.0,1.0,-130.0,1.463586472e+12,39.666187571,-105.077529959
573c8ea8864fce1a9a5fbf7a,3256,476286.0,1.0,-136.333333333,1.463586472e+12,39.8641674321,-104.919153306
573c8ea8864fce1a9a5fbf7a,3410,476286.0,1.5,-121.5,1.463586472e+12,39.7776897533,-105.002424326
573c8ea8864fce1a9a5fbf7a,3412,476286.0,1.0,-123.0,1.463586472e+12,39.8241946127,-104.998428692
573c8ea8864fce1a9a5fbf7a,3526,476286.0,1.0,-136.0,1.463586472e+12,39.6772510308,-104.952720509
573c8ea8864fce1a9a5fbf7a,3529,476286.0,1.0,-108.666666667,1.463586472e+12,39.7553902903,-105.056406141
573c8ea8864fce1a9a5fbf7a,3538,476286.0,1.5,-135.5,1.463586472e+12,39.8216715273,-105.023146494
573c8ea8864fce1a9a5fbf7a,3547,476286.0,1.0,-116.0,1.463586472e+12,39.692975919,-105.044371274
573c8ea8864fce1a9a5fbf7a,3548,476286.0,1.0,-128.0,1.463586472e+12,39.7448482036,-105.010048102
573c8ea8864fce1a9a5fbf7a,3555,476286.0,1.0,-125.0,1.463586472e+12,39.8774948036,-105.031298006
573c8ea8864fce1a9a5fbf7a,3556,476286.0,1.0,-115.666666667,1.463586472e+12,39.7806581352,-105.053676268
573c8ea8864fce1a9a5fbf7a,3558,476286.0,2.0,-131.0,1.463586472e+12,39.8100546588,-105.010413445
573c8ea8864fce1a9a5fbf7a,3562,476286.0,1.0,-114.333333333,1.463586472e+12,39.7977059038,-105.060233749
573c8ea8864fce1a9a5fbf7a,3565,476286.0,1.0,-134.0,1.463586472e+12,39.9040824664,-105.07782543
573c8ea8864fce1a9a5fbf7a,3579,476286.0,1.0,-98.0,1.463586472e+12,39.7550193847,-105.043314763
573c8ea8864fce1a9a5fbf7a,3581,476286.0,1.0,-122.666666667,1.463586472e+12,39.7181196801,-105.066747888
573c8ea8864fce1a9a5fbf7a,3846,476286.0,1.5,-125.5,1.463586472e+12,39.7537185228,-104.998667795
573c8ea8864fce1a9a5fbf7a,4056,476286.0,1.0,-114.0,1.463586472e+12,39.7719150146,-105.009415936
573c8ea8864fce1a9a5fbf7a,4059,476286.0,2.0,-124.0,1.463586472e+12,39.7567635889,-105.024870179
573c8ea8864fce1a9a5fbf7a,4078,476286.0,1.5,-139.5,1.463586472e+12,39.7163169164,-105.132549933
573c8ea8864fce1a9a5fbf7a,4147,476286.0,1.5,-132.0,1.463586472e+12,39.665430287,-105.111884525
573c8ea8864fce1a9a5fbf7a,4157,476286.0,1.0,-133.0,1.463586472e+12,39.8054198019,-105.040942297
573c8ea8864fce1a9a5fbf7a,8352,476286.0,1.0,-106.666666667,1.463586472e+12,39.7616334244,-105.025752947
573c8ea8864fce1a9a5fbf7a,8356,476286.0,1.0,-123.333333333,1.463586472e+12,39.7570335245,-104.976126764
573c8ea8864fce1a9a5fbf7a,8397,476286.0,1.0,-127.5,1.463586472e+12,39.7593955132,-105.00141507
573c8ea8864fce1a9a5fbf7a,8426,476286.0,2.0,-139.0,1.463586472e+12,39.8048890313,-104.970864168
573c8ea8864fce1a9a5fbf7a,8437,476286.0,1.5,-137.5,1.463586472e+12,39.7594613083,-105.074287246
573c8ea8864fce1a9a5fbf7a,8472,476286.0,0.5,-134.5,1.463586472e+12,39.7343296311,-105.165354911
573c8ea8864fce1a9a5fbf7a,9899,476286.0,1.5,-129.0,1.463586472e+12,39.7914022708,-105.02660482
573c9148864fce1a9a616174,1859,476286.0,1.0,-128.333333333,1.463587144e+12,39.7048869498,-105.016392267
573c9148864fce1a9a616174,2605,476286.0,1.0,-137.0,1.463587144e+12,39.6127445823,-105.008826579
573c9148864fce1a9a616174,2784,476286.0,1.0,-123.333333333,1.463587144e+12,39.7281854331,-105.042323764
573c9148864fce1a9a616174,2799,476286.0,2.0,-136.0,1.463587144e+12,39.7530526327,-104.941021699
573c9148864fce1a9a616174,2846,476286.0,1.0,-134.0,1.463587144e+12,39.666187571,-105.077529959
573c9148864fce1a9a616174,3414,476286.0,1.0,-110.0,1.463587144e+12,39.747448451,-105.056730649
573c9148864fce1a9a616174,3529,476286.0,1.0,-88.3333333333,1.463587144e+12,39.7553902903,-105.056406141
573c9148864fce1a9a616174,3579,476286.0,2.0,-124.0,1.463587144e+12,39.7550193847,-105.043314763
573c9148864fce1a9a616174,4078,476286.0,1.0,-141.0,1.463587144e+12,39.7163169164,-105.132549933
573c9148864fce1a9a616174,4244,476286.0,0.0,-128.0,1.463587144e+12,39.7708525833,-105.071494168
573c9148864fce1a9a616174,8437,476286.0,1.0,-129.0,1.463587144e+12,39.7594613083,-105.074287246
573c939cf0fe6e735ac36de1,1264,476286.0,1.0,-127.0,1.46358774e+12,39.7471392104,-105.085312503
573c939cf0fe6e735ac36de1,1476,476286.0,1.0,-134.333333333,1.46358774e+12,39.7050706005,-105.145581142
573c939cf0fe6e735ac36de1,1859,476286.0,0.5,-128.5,1.46358774e+12,39.7048869498,-105.016392267
573c939cf0fe6e735ac36de1,1878,476286.0,1.0,-125.666666667,1.46358774e+12,39.803794978,-105.072089989
573c939cf0fe6e735ac36de1,2605,476286.0,2.0,-135.0,1.46358774e+12,39.6127445823,-105.008826579
573c939cf0fe6e735ac36de1,2610,476286.0,1.0,-127.0,1.46358774e+12,39.7979686649,-105.073460438
573c939cf0fe6e735ac36de1,2784,476286.0,1.0,-118.0,1.46358774e+12,39.7281854331,-105.042323764
573c939cf0fe6e735ac36de1,2799,476286.0,1.0,-127.666666667,1.46358774e+12,39.7530526327,-104.941021699
573c939cf0fe6e735ac36de1,2846,476286.0,0.0,-129.0,1.46358774e+12,39.666187571,-105.077529959
573c939cf0fe6e735ac36de1,2862,476286.0,2.0,-127.0,1.46358774e+12,39.7777762414,-104.96330486
573c939cf0fe6e735ac36de1,3025,476286.0,1.0,-121.0,1.46358774e+12,39.6546818791,-105.043685283
573c939cf0fe6e735ac36de1,3378,476286.0,2.0,-136.0,1.46358774e+12,39.7151104414,-105.059249622
573c939cf0fe6e735ac36de1,3410,476286.0,1.0,-132.0,1.46358774e+12,39.7776897533,-105.002424326
573c939cf0fe6e735ac36de1,3412,476286.0,1.0,-133.0,1.46358774e+12,39.8241946127,-104.998428692
573c939cf0fe6e735ac36de1,3414,476286.0,1.5,-95.5,1.46358774e+12,39.747448451,-105.056730649
573c939cf0fe6e735ac36de1,3500,476286.0,0.0,-135.0,1.46358774e+12,39.7764668653,-105.099747171
573c939cf0fe6e735ac36de1,3529,476286.0,1.0,-101.333333333,1.46358774e+12,39.7553902903,-105.056406141
573c939cf0fe6e735ac36de1,3547,476286.0,1.5,-124.0,1.46358774e+12,39.692975919,-105.044371274
573c939cf0fe6e735ac36de1,3548,476286.0,0.0,-135.0,1.46358774e+12,39.7448482036,-105.010048102
573c939cf0fe6e735ac36de1,3578,476286.0,1.0,-123.333333333,1.46358774e+12,39.7286509462,-105.163031574
573c939cf0fe6e735ac36de1,3579,476286.0,1.0,-115.333333333,1.46358774e+12,39.7550193847,-105.043314763
573c939cf0fe6e735ac36de1,3581,476286.0,0.5,-120.0,1.46358774e+12,39.7181196801,-105.066747888
573c939cf0fe6e735ac36de1,4056,476286.0,1.0,-131.0,1.46358774e+12,39.7719150146,-105.009415936
573c939cf0fe6e735ac36de1,4058,476286.0,1.0,-113.0,1.46358774e+12,39.7832105294,-105.088746775
573c939cf0fe6e735ac36de1,4059,476286.0,0.5,-123.0,1.46358774e+12,39.7567635889,-105.024870179
573c939cf0fe6e735ac36de1,4078,476286.0,1.0,-130.333333333,1.46358774e+12,39.7163169164,-105.132549933
573c939cf0fe6e735ac36de1,4147,476286.0,1.0,-124.666666667,1.46358774e+12,39.665430287,-105.111884525
573c939cf0fe6e735ac36de1,4244,476286.0,1.0,-123.5,1.46358774e+12,39.7708525833,-105.071494168
573c939cf0fe6e735ac36de1,7456,476286.0,1.0,-128.0,1.46358774e+12,39.7821125865,-105.072700822
573c939cf0fe6e735ac36de1,8245,476286.0,0.0,-122.0,1.46358774e+12,39.7594613083,-105.074287246
573c939cf0fe6e735ac36de1,8356,476286.0,1.0,-125.0,1.46358774e+12,39.7570335245,-104.976126764
573c939cf0fe6e735ac36de1,8370,476286.0,0.0,-134.0,1.46358774e+12,39.7064355449,-105.09932301
573c939cf0fe6e735ac36de1,8397,476286.0,1.0,-131.0,1.46358774e+12,39.7593955132,-105.00141507
573c939cf0fe6e735ac36de1,8437,476286.0,1.0,-117.666666667,1.46358774e+12,39.7594613083,-105.074287246
573c939cf0fe6e735ac36de1,8452,476286.0,0.5,-129.5,1.46358774e+12,39.748725342,-105.21104149
573c939cf0fe6e735ac36de1,8472,476286.0,1.0,-133.0,1.46358774e+12,39.7343296311,-105.165354911
573c9667f0fe6e735ac51891,2605,476512.0,1.0,-136.0,1.463588455e+12,39.6127445823,-105.008826579
573c9892f0fe6e735ac6603f,1264,476286.0,0.5,-95.5,1.46358901e+12,39.7471392104,-105.085312503
573c9892f0fe6e735ac6603f,1476,476286.0,1.5,-131.0,1.46358901e+12,39.7050706005,-105.145581142
573c9892f0fe6e735ac6603f,1878,476286.0,1.0,-124.5,1.46358901e+12,39.803794978,-105.072089989
573c9892f0fe6e735ac6603f,2189,476286.0,1.0,-135.0,1.46358901e+12,39.8176539435,-105.050983775
573c9892f0fe6e735ac6603f,2610,476286.0,1.0,-113.666666667,1.46358901e+12,39.7979686649,-105.073460438
573c9892f0fe6e735ac6603f,2617,476286.0,1.0,-137.0,1.46358901e+12,39.7799081609,-105.062479338
573c9892f0fe6e735ac6603f,2799,476286.0,1.0,-129.0,1.46358901e+12,39.7530526327,-104.941021699
573c9892f0fe6e735ac6603f,2846,476286.0,1.0,-120.0,1.46358901e+12,39.666187571,-105.077529959
573c9892f0fe6e735ac6603f,3025,476286.0,1.0,-119.0,1.46358901e+12,39.6546818791,-105.043685283
573c9892f0fe6e735ac6603f,3386,476286.0,2.0,-132.0,1.46358901e+12,39.8105085102,-105.151310853
573c9892f0fe6e735ac6603f,3412,476286.0,1.5,-134.0,1.46358901e+12,39.8241946127,-104.998428692
573c9892f0fe6e735ac6603f,3500,476286.0,0.5,-124.5,1.46358901e+12,39.7764668653,-105.099747171
573c9892f0fe6e735ac6603f,3547,476286.0,1.0,-124.0,1.46358901e+12,39.692975919,-105.044371274
573c9892f0fe6e735ac6603f,3563,476286.0,2.0,-131.0,1.46358901e+12,39.8167547068,-105.17152169
573c9892f0fe6e735ac6603f,3570,476286.0,1.0,-109.333333333,1.46358901e+12,39.7578896588,-105.119324332
573c9892f0fe6e735ac6603f,3578,476286.0,1.0,-123.0,1.46358901e+12,39.7286509462,-105.163031574
573c9892f0fe6e735ac6603f,3581,476286.0,1.0,-115.0,1.46358901e+12,39.7181196801,-105.066747888
573c9892f0fe6e735ac6603f,4058,476286.0,2.0,-102.0,1.46358901e+12,39.7832105294,-105.088746775
573c9892f0fe6e735ac6603f,4078,476286.0,2.0,-133.0,1.46358901e+12,39.7163169164,-105.132549933
573c9892f0fe6e735ac6603f,4157,476286.0,0.0,-133.0,1.46358901e+12,39.8054198019,-105.040942297
573c9892f0fe6e735ac6603f,4244,476286.0,1.0,-112.0,1.46358901e+12,39.7708525833,-105.071494168
573c9892f0fe6e735ac6603f,7456,476286.0,2.0,-121.0,1.46358901e+12,39.7821125865,-105.072700822
573c9892f0fe6e735ac6603f,8245,476286.0,2.0,-107.0,1.46358901e+12,39.7594613083,-105.074287246
573c9892f0fe6e735ac6603f,8356,476286.0,1.0,-133.0,1.46358901e+12,39.7570335245,-104.976126764
573c9892f0fe6e735ac6603f,8437,476286.0,1.0,-105.0,1.46358901e+12,39.7594613083,-105.074287246
573c9d7b3e952e1912d9f567,8245,476286.0,2.0,-124.0,1.463590267e+12,39.7594613083,-105.074287246
573c9d7b3e952e1912d9f567,8437,476286.0,1.5,-129.5,1.463590267e+12,39.7594613083,-105.074287246
573cbc43f0fe6e735adabf38,3558,473335.0,1.0,-122.0,1.463598147e+12,39.8100546588,-105.010413445
573cbc43f0fe6e735adabf38,3559,473335.0,1.0,-124.0,1.463598147e+12,39.8000788387,-104.999947283
573cbc7ff0fe6e735adadeab,8397,473953.0,0.5,-132.5,1.463598207e+12,39.7593955132,-105.00141507
573cbc7ff0fe6e735adadeab,8474,473953.0,1.0,-129.5,1.463598207e+12,39.7320448643,-104.973650831
573cc276864fce1a9a7dd272,2846,473335.0,0.0,-127.0,1.463599734e+12,39.666187571,-105.077529959
573cc3e1864fce1a9a7e8cac,2841,473335.0,1.0,-108.0,1.463600097e+12,39.6177937615,-104.954917061
573cc3e1864fce1a9a7e8cac,3526,473335.0,2.0,-137.0,1.463600097e+12,39.6772510308,-104.952720509
573cc5753e952e1912f0d833,2841,473335.0,1.0,-131.333333333,1.463600501e+12,39.6177937615,-104.954917061
573ce369f0fe6e735aeeebd8,1872,473438.0,0.0,-121.0,1.463608169e+12,39.823856259,-105.239120142
573ce5ca3e952e191201235f,1476,473438.0,1.0,-136.0,1.463608778e+12,39.7050706005,-105.145581142
573ce5ca3e952e191201235f,1872,473438.0,1.0,-108.0,1.463608778e+12,39.823856259,-105.239120142
573ce5ca3e952e191201235f,3563,473438.0,2.0,-128.0,1.463608778e+12,39.8167547068,-105.17152169
573ce5ca3e952e191201235f,3578,473438.0,1.0,-135.0,1.463608778e+12,39.7286509462,-105.163031574
573ce5ca3e952e191201235f,8472,473438.0,1.0,-136.0,1.463608778e+12,39.7343296311,-105.165354911
573ce5ca3e952e191201235f,8473,473438.0,2.0,-133.0,1.463608778e+12,39.8457458983,-105.195932521
573ce5ca3e952e191201235f,8746,473438.0,1.5,-130.0,1.463608778e+12,39.8388034895,-105.112232109
573d44aa3e952e19123052b2,2841,473335.0,0.5,-95.0,1.463633066e+12,39.6177937615,-104.954917061
573d45c5f0fe6e735a1f0ae6,2610,473438.0,0.0,-130.0,1.463633349e+12,39.7979686649,-105.073460438
573d45c5f0fe6e735a1f0ae6,3386,473438.0,0.0,-128.0,1.463633349e+12,39.8105085102,-105.151310853
573d45c5f0fe6e735a1f0ae6,4058,473438.0,1.0,-121.0,1.463633349e+12,39.7832105294,-105.088746775
573d5b6f864fce1a9acb9d38,1741,476185.0,1.0,-132.0,1.463638895e+12,39.8078782841,-105.047756523
573d5b6f864fce1a9acb9d38,1878,476185.0,1.0,-124.0,1.463638895e+12,39.803794978,-105.072089989
573d5b6f864fce1a9acb9d38,1987,476185.0,1.0,-134.333333333,1.463638895e+12,39.8078409419,-105.043755461
573d5b6f864fce1a9acb9d38,1988,476185.0,1.0,-137.0,1.463638895e+12,39.9263970026,-105.084103021
573d5b6f864fce1a9acb9d38,1994,476185.0,1.5,-138.0,1.463638895e+12,39.8181435025,-105.047564818
573d5b6f864fce1a9acb9d38,1996,476185.0,1.0,-131.0,1.463638895e+12,39.8162240841,-105.045346792
573d5b6f864fce1a9acb9d38,2189,476185.0,1.0,-111.666666667,1.463638895e+12,39.8176539435,-105.050983775
573d5b6f864fce1a9acb9d38,2790,476185.0,2.0,-121.0,1.463638895e+12,39.8426017467,-105.090761589
573d5b6f864fce1a9acb9d38,3357,476185.0,1.0,-129.333333333,1.463638895e+12,39.8534180447,-104.985877334
573d5b6f864fce1a9acb9d38,3412,476185.0,2.0,-131.0,1.463638895e+12,39.8241946127,-104.998428692
573d5b6f864fce1a9acb9d38,8446,476185.0,1.0,-130.0,1.463638895e+12,39.8056964255,-105.056208144
573d5b6f864fce1a9acb9d38,8470,476185.0,1.0,-122.5,1.463638895e+12,39.8387400544,-105.085159501
573d5b6f864fce1a9acb9d38,8475,476185.0,1.0,-139.0,1.463638895e+12,39.811782105,-105.026328911
573d5b6f864fce1a9acb9d38,8509,476185.0,1.0,-130.333333333,1.463638895e+12,39.8127198926,-105.06903626
573d5da8864fce1a9acccdda,1878,476185.0,1.0,-122.0,1.463639464e+12,39.803794978,-105.072089989
573d5da8864fce1a9acccdda,1988,476185.0,1.5,-132.0,1.463639464e+12,39.9263970026,-105.084103021
573d5da8864fce1a9acccdda,1994,476185.0,1.0,-123.333333333,1.463639464e+12,39.8181435025,-105.047564818
573d5da8864fce1a9acccdda,2189,476185.0,1.0,-109.333333333,1.463639464e+12,39.8176539435,-105.050983775
573d5da8864fce1a9acccdda,2610,476185.0,1.0,-134.0,1.463639464e+12,39.7979686649,-105.073460438
573d5da8864fce1a9acccdda,2768,476185.0,1.0,-132.0,1.463639464e+12,39.9202412223,-105.036847739
573d5da8864fce1a9acccdda,2790,476185.0,0.0,-120.0,1.463639464e+12,39.8426017467,-105.090761589
573d5da8864fce1a9acccdda,2799,476185.0,1.0,-133.0,1.463639464e+12,39.7530526327,-104.941021699
573d5da8864fce1a9acccdda,3357,476185.0,1.0,-127.333333333,1.463639464e+12,39.8534180447,-104.985877334
573d5da8864fce1a9acccdda,3412,476185.0,1.0,-116.333333333,1.463639464e+12,39.8241946127,-104.998428692
573d5da8864fce1a9acccdda,3538,476185.0,1.0,-121.333333333,1.463639464e+12,39.8216715273,-105.023146494
573d5da8864fce1a9acccdda,3545,476185.0,1.0,-116.666666667,1.463639464e+12,39.8719024671,-105.058841789
573d5da8864fce1a9acccdda,3565,476185.0,1.0,-132.0,1.463639464e+12,39.9040824664,-105.07782543
573d5da8864fce1a9acccdda,3569,476185.0,0.5,-132.5,1.463639464e+12,39.8887249889,-105.080291033
573d5da8864fce1a9acccdda,4064,476185.0,1.5,-137.0,1.463639464e+12,39.9949158653,-105.122607937
573d5da8864fce1a9acccdda,8470,476185.0,0.5,-126.0,1.463639464e+12,39.8387400544,-105.085159501
